Ảnh,Thời gian (s),CER,WER
1,2.476,0.0485,0.3062
2,2.427,0.0412,0.2640
3,2.463,0.0514,0.3087
4,2.453,0.0526,0.3118
5,2.403,0.0475,0.2926
6,2.446,0.0458,0.3063
7,2.366,0.0457,0.2961
8,2.426,0.0487,0.2982
9,2.437,0.0440,0.2706
10,2.427,0.0511,0.2902
11,2.436,0.0443,0.2796
12,2.423,0.0503,0.3032
13,2.415,0.0433,0.2697
14,2.367,0.0452,0.2791
15,2.424,0.0535,0.3165
16,2.406,0.0447,0.2655
17,2.428,0.0488,0.2975
18,2.420,0.0452,0.2881
19,2.697,0.0519,0.3105
20,2.386,0.0445,0.2703
21,2.479,0.0459,0.2715
22,2.464,0.0407,0.2740
23,2.391,0.0429,0.2617
24,2.390,0.0486,0.2963
25,2.444,0.0503,0.3203
26,2.449,0.0439,0.2687
27,2.418,0.0475,0.2802
28,2.373,0.0422,0.2721
29,2.424,0.0392,0.2352
30,2.388,0.0448,0.2703
31,2.474,0.0410,0.2383
32,2.417,0.0469,0.2809
33,2.385,0.0538,0.3341
34,2.404,0.0425,0.2471
35,2.409,0.0396,0.2472
36,2.383,0.0478,0.2976
37,2.418,0.0417,0.2455
38,2.439,0.0479,0.3052
39,2.417,0.0441,0.2641
40,2.405,0.0487,0.2848
41,2.396,0.0496,0.2775
42,2.454,0.0484,0.2753
43,2.367,0.0466,0.2837
44,2.428,0.0445,0.2693
45,2.388,0.0521,0.3058
46,2.405,0.0513,0.3043
47,2.373,0.0524,0.3357
48,2.408,0.0537,0.3124
49,2.352,0.0469,0.2947
50,2.388,0.0429,0.2779
51,2.353,0.0465,0.2857
52,2.429,0.0470,0.2841
53,2.407,0.0480,0.2713
54,2.436,0.0434,0.2579
55,2.385,0.0434,0.2723
56,2.422,0.0419,0.2667
57,2.428,0.0476,0.2770
58,2.364,0.0471,0.2765
59,2.425,0.0447,0.2966
60,2.443,0.0493,0.2949
61,2.386,0.0458,0.2967
62,2.431,0.0523,0.3046
63,2.359,0.0467,0.2888
64,2.463,0.0519,0.3241
65,2.457,0.0508,0.3050
66,2.436,0.0452,0.2805
67,2.435,0.0494,0.3098
68,2.402,0.0415,0.2404
69,2.411,0.0421,0.2688
70,2.406,0.0435,0.2635
71,2.374,0.1022,0.3205
72,2.481,0.0443,0.2765
73,2.421,0.0493,0.2975
74,2.419,0.0487,0.2958
75,2.437,0.0464,0.3075
76,2.425,0.0432,0.2719
77,2.320,0.0439,0.2667
78,2.354,0.0468,0.2785
79,2.399,0.0476,0.2916
80,2.439,0.0435,0.2753
81,2.439,0.0413,0.2447
82,2.489,0.0482,0.2713
83,2.369,0.0432,0.2652
84,2.385,0.0442,0.2854
85,2.438,0.0478,0.3066
86,2.421,0.0511,0.3237
87,2.400,0.0459,0.2800
88,2.450,0.0427,0.2558
89,2.390,0.0450,0.2621
90,2.392,0.0457,0.2809
91,2.472,0.0432,0.2713
92,2.352,0.0479,0.2847
93,2.386,0.0460,0.2948
94,2.388,0.0416,0.2756
95,2.443,0.0431,0.2610
96,2.447,0.0594,0.3624
97,2.395,0.0470,0.2953
98,2.435,0.0440,0.2723
99,2.440,0.0511,0.3154
100,2.365,0.0520,0.3096
101,2.338,0.0498,0.2977
102,2.391,0.0461,0.2926
103,2.456,0.0464,0.2787
104,2.607,0.0515,0.3218
105,2.411,0.0480,0.2925
106,2.360,0.0512,0.3149
107,2.418,0.0419,0.2564
108,2.384,0.0405,0.2455
109,2.413,0.0464,0.2688
110,2.369,0.0452,0.2828
111,2.396,0.0458,0.2629
112,2.430,0.0447,0.2703
113,2.414,0.0475,0.2966
114,2.355,0.0435,0.2761
115,2.406,0.0520,0.3204
116,2.475,0.0431,0.2709
117,2.404,0.0439,0.2894
118,2.409,0.0477,0.2818
119,2.422,0.0518,0.3096
120,2.454,0.0474,0.2844
121,2.415,0.0488,0.3255
122,2.401,0.0452,0.2844
123,2.437,0.0437,0.2615
124,2.400,0.0447,0.2880
125,2.404,0.0480,0.2982
126,2.445,0.0466,0.2983
127,2.405,0.0476,0.2966
128,2.543,0.0426,0.2407
129,2.375,0.0476,0.3012
130,2.411,0.0478,0.2933
131,2.432,0.0480,0.2870
132,2.420,0.0433,0.2609
133,2.420,0.0423,0.2757
134,2.469,0.0457,0.3020
135,2.483,0.0540,0.3198
136,2.430,0.0465,0.2943
137,2.396,0.0441,0.2775
138,2.410,0.0477,0.2937
139,2.426,0.0463,0.2854
140,2.389,0.0452,0.2753
141,2.426,0.0468,0.3059
142,2.484,0.0418,0.2650
143,2.402,0.0441,0.2925
144,2.394,0.0485,0.3028
145,2.372,0.0489,0.2972
146,2.362,0.0476,0.2713
147,2.444,0.0447,0.2821
148,2.435,0.0509,0.3177
149,2.498,0.0434,0.2697
150,2.397,0.0481,0.2995
151,2.479,0.0449,0.2828
152,2.454,0.0442,0.2773
153,2.357,0.0435,0.2864
154,2.342,0.0385,0.2384
155,2.412,0.0463,0.3059
156,2.411,0.0485,0.2924
157,2.424,0.0456,0.2874
158,2.409,0.0509,0.3121
159,2.420,0.0423,0.2774
160,2.435,0.0463,0.2854
161,2.396,0.0436,0.2674
162,2.415,0.0482,0.3034
163,2.435,0.0436,0.2717
164,2.397,0.0510,0.3086
165,2.387,0.0411,0.2431
166,2.408,0.0434,0.2701
167,2.458,0.0505,0.3129
168,2.423,0.0489,0.3018
169,2.410,0.0457,0.2779
170,2.386,0.0419,0.2632
171,2.473,0.0457,0.2892
172,2.464,0.0482,0.3066
173,2.416,0.0485,0.2890
174,2.351,0.0445,0.2799
175,2.401,0.0465,0.2740
176,2.460,0.0512,0.3089
177,2.483,0.0484,0.2966
178,2.404,0.0496,0.3070
179,2.411,0.0508,0.3073
