Tổng thời gian: 9919.29 giây
Trung bình CER: 0.0464
Trung bình WER: 0.2862
Chi tiết từng ảnh:
Ảnh 1: Thời gian 3.643s, CER 0.0451, WER 0.2719
Ảnh 2: Thời gian 2.512s, CER 0.0425, WER 0.2644
Ảnh 3: Thời gian 2.543s, CER 0.0510, WER 0.3218
Ảnh 4: Thời gian 2.467s, CER 0.0458, WER 0.2834
Ảnh 5: Thời gian 2.711s, CER 0.0449, WER 0.2739
Ảnh 6: Thời gian 2.430s, CER 0.0463, WER 0.2802
Ảnh 7: Thời gian 2.483s, CER 0.0496, WER 0.2897
Ảnh 8: Thời gian 2.817s, CER 0.0478, WER 0.2727
Ảnh 9: Thời gian 3.040s, CER 0.0478, WER 0.2815
Ảnh 10: Thời gian 3.622s, CER 0.0431, WER 0.2740
Ảnh 11: Thời gian 2.523s, CER 0.0441, WER 0.2864
Ảnh 12: Thời gian 2.484s, CER 0.0510, WER 0.2973
Ảnh 13: Thời gian 2.577s, CER 0.0556, WER 0.3094
Ảnh 14: Thời gian 2.486s, CER 0.0487, WER 0.3002
Ảnh 15: Thời gian 2.406s, CER 0.0452, WER 0.2693
Ảnh 16: Thời gian 3.203s, CER 0.0489, WER 0.2986
Ảnh 17: Thời gian 8.698s, CER 0.0397, WER 0.2602
Ảnh 18: Thời gian 2.690s, CER 0.0469, WER 0.2998
Ảnh 19: Thời gian 2.424s, CER 0.0531, WER 0.3052
Ảnh 20: Thời gian 2.452s, CER 0.0439, WER 0.2658
Ảnh 21: Thời gian 2.409s, CER 0.0518, WER 0.3153
Ảnh 22: Thời gian 2.437s, CER 0.0479, WER 0.3124
Ảnh 23: Thời gian 2.402s, CER 0.0421, WER 0.2713
Ảnh 24: Thời gian 2.397s, CER 0.0513, WER 0.3002
Ảnh 25: Thời gian 2.472s, CER 0.0443, WER 0.2911
Ảnh 26: Thời gian 2.529s, CER 0.0405, WER 0.2719
Ảnh 27: Thời gian 2.516s, CER 0.0486, WER 0.2979
Ảnh 28: Thời gian 2.399s, CER 0.0495, WER 0.3048
Ảnh 29: Thời gian 2.619s, CER 0.0410, WER 0.2465
Ảnh 30: Thời gian 2.659s, CER 0.0453, WER 0.2736
Ảnh 31: Thời gian 3.025s, CER 0.0377, WER 0.2419
Ảnh 32: Thời gian 2.476s, CER 0.0406, WER 0.2674
Ảnh 33: Thời gian 2.517s, CER 0.0443, WER 0.2736
Ảnh 34: Thời gian 2.496s, CER 0.0465, WER 0.2933
Ảnh 35: Thời gian 2.465s, CER 0.0491, WER 0.2920
Ảnh 36: Thời gian 2.444s, CER 0.0483, WER 0.2922
Ảnh 37: Thời gian 2.496s, CER 0.0488, WER 0.3034
Ảnh 38: Thời gian 2.476s, CER 0.0469, WER 0.2873
Ảnh 39: Thời gian 2.442s, CER 0.0457, WER 0.2765
Ảnh 40: Thời gian 2.483s, CER 0.0531, WER 0.3114
Ảnh 41: Thời gian 2.455s, CER 0.0483, WER 0.3070
Ảnh 42: Thời gian 2.431s, CER 0.0458, WER 0.3057
Ảnh 43: Thời gian 2.468s, CER 0.0472, WER 0.2851
Ảnh 44: Thời gian 2.511s, CER 0.0455, WER 0.2838
Ảnh 45: Thời gian 2.514s, CER 0.0407, WER 0.2596
Ảnh 46: Thời gian 2.520s, CER 0.0431, WER 0.2638
Ảnh 47: Thời gian 2.479s, CER 0.0471, WER 0.2870
Ảnh 48: Thời gian 2.451s, CER 0.0451, WER 0.2756
Ảnh 49: Thời gian 2.501s, CER 0.0511, WER 0.3165
Ảnh 50: Thời gian 2.428s, CER 0.0486, WER 0.2995
Ảnh 51: Thời gian 2.456s, CER 0.0426, WER 0.2661
Ảnh 52: Thời gian 2.476s, CER 0.0436, WER 0.2838
Ảnh 53: Thời gian 2.517s, CER 0.0440, WER 0.2656
Ảnh 54: Thời gian 2.510s, CER 0.0484, WER 0.3098
Ảnh 55: Thời gian 2.581s, CER 0.0501, WER 0.3035
Ảnh 56: Thời gian 2.802s, CER 0.0546, WER 0.3532
Ảnh 57: Thời gian 2.511s, CER 0.0486, WER 0.2960
Ảnh 58: Thời gian 2.499s, CER 0.0405, WER 0.2626
Ảnh 59: Thời gian 2.430s, CER 0.0430, WER 0.2576
Ảnh 60: Thời gian 2.816s, CER 0.0448, WER 0.2683
Ảnh 61: Thời gian 3.433s, CER 0.0433, WER 0.2651
Ảnh 62: Thời gian 3.091s, CER 0.0422, WER 0.2472
Ảnh 63: Thời gian 3.053s, CER 0.0507, WER 0.3044
Ảnh 64: Thời gian 2.891s, CER 0.0474, WER 0.2784
Ảnh 65: Thời gian 2.719s, CER 0.0442, WER 0.2425
Ảnh 66: Thời gian 2.819s, CER 0.0521, WER 0.3229
Ảnh 67: Thời gian 2.800s, CER 0.0454, WER 0.2943
Ảnh 68: Thời gian 2.446s, CER 0.0503, WER 0.3065
Ảnh 69: Thời gian 2.515s, CER 0.0426, WER 0.2667
Ảnh 70: Thời gian 2.667s, CER 0.0478, WER 0.2892
Ảnh 71: Thời gian 2.465s, CER 0.0562, WER 0.3402
Ảnh 72: Thời gian 2.503s, CER 0.0419, WER 0.2740
Ảnh 73: Thời gian 2.468s, CER 0.0432, WER 0.2702
Ảnh 74: Thời gian 2.399s, CER 0.0470, WER 0.2965
Ảnh 75: Thời gian 2.499s, CER 0.0514, WER 0.3043
Ảnh 76: Thời gian 2.488s, CER 0.0406, WER 0.2587
Ảnh 77: Thời gian 2.709s, CER 0.0517, WER 0.3419
Ảnh 78: Thời gian 2.522s, CER 0.0431, WER 0.2758
Ảnh 79: Thời gian 2.398s, CER 0.0532, WER 0.3211
Ảnh 80: Thời gian 2.464s, CER 0.0477, WER 0.2850
Ảnh 81: Thời gian 2.459s, CER 0.0442, WER 0.2765
Ảnh 82: Thời gian 2.466s, CER 0.0487, WER 0.2897
Ảnh 83: Thời gian 2.536s, CER 0.0471, WER 0.2959
Ảnh 84: Thời gian 2.479s, CER 0.0442, WER 0.2778
Ảnh 85: Thời gian 2.496s, CER 0.0528, WER 0.3204
Ảnh 86: Thời gian 2.396s, CER 0.0459, WER 0.2821
Ảnh 87: Thời gian 2.520s, CER 0.0541, WER 0.3228
Ảnh 88: Thời gian 2.467s, CER 0.0403, WER 0.2557
Ảnh 89: Thời gian 2.485s, CER 0.0464, WER 0.2808
Ảnh 90: Thời gian 2.417s, CER 0.0467, WER 0.2926
Ảnh 91: Thời gian 2.430s, CER 0.0483, WER 0.3103
Ảnh 92: Thời gian 2.388s, CER 0.0428, WER 0.2780
Ảnh 93: Thời gian 2.436s, CER 0.0420, WER 0.2489
