Tổng thời gian: 1162.91 giây
Thời gian/ảnh: 4.534s
Trung bình CER: 0.0465
Trung bình WER: 0.2866
Chi tiết từng ảnh:
img_0000.png: 5.758s, CER 0.0438, WER 0.2579
img_0001.png: 3.915s, CER 0.0533, WER 0.3217
img_0002.png: 4.073s, CER 0.0449, WER 0.2775
img_0003.png: 3.887s, CER 0.0489, WER 0.2952
img_0004.png: 3.676s, CER 0.0421, WER 0.2643
img_0005.png: 3.636s, CER 0.0480, WER 0.3100
img_0006.png: 9.296s, CER 0.0448, WER 0.2735
img_0007.png: 3.512s, CER 0.0501, WER 0.3034
img_0008.png: 3.615s, CER 0.0445, WER 0.2998
img_0009.png: 3.688s, CER 0.0445, WER 0.2594
img_0010.png: 3.705s, CER 0.0472, WER 0.3075
img_0011.png: 9.884s, CER 0.0416, WER 0.2723
img_0012.png: 3.453s, CER 0.0456, WER 0.2824
img_0013.png: 3.402s, CER 0.0413, WER 0.2600
img_0014.png: 3.329s, CER 0.0467, WER 0.2906
img_0015.png: 3.265s, CER 0.0402, WER 0.2624
img_0016.png: 3.664s, CER 0.0419, WER 0.2874
img_0017.png: 3.388s, CER 0.0441, WER 0.2638
img_0018.png: 3.366s, CER 0.0503, WER 0.3151
img_0019.png: 10.745s, CER 0.0403, WER 0.2523
img_0040.png: 5.741s, CER 0.0416, WER 0.2567
img_0041.png: 3.913s, CER 0.0553, WER 0.3364
img_0042.png: 4.336s, CER 0.0466, WER 0.2831
img_0043.png: 3.694s, CER 0.0498, WER 0.3018
img_0044.png: 3.697s, CER 0.0400, WER 0.2629
img_0045.png: 3.598s, CER 0.0475, WER 0.2864
img_0046.png: 7.843s, CER 0.0454, WER 0.2905
img_0047.png: 4.663s, CER 0.0493, WER 0.3095
img_0048.png: 3.735s, CER 0.0503, WER 0.3011
img_0049.png: 3.922s, CER 0.0517, WER 0.2998
img_0050.png: 3.744s, CER 0.0462, WER 0.2874
img_0051.png: 9.950s, CER 0.0471, WER 0.2810
img_0052.png: 3.414s, CER 0.0477, WER 0.2831
img_0053.png: 3.413s, CER 0.0476, WER 0.2783
img_0054.png: 3.361s, CER 0.0439, WER 0.2763
img_0055.png: 3.417s, CER 0.0476, WER 0.3029
img_0056.png: 3.512s, CER 0.0465, WER 0.2795
img_0057.png: 3.385s, CER 0.0484, WER 0.2944
img_0058.png: 3.434s, CER 0.0405, WER 0.2650
img_0059.png: 10.598s, CER 0.0490, WER 0.2986
img_0020.png: 5.754s, CER 0.0433, WER 0.2671
img_0021.png: 3.881s, CER 0.0500, WER 0.3125
img_0022.png: 4.180s, CER 0.0449, WER 0.2707
img_0023.png: 3.786s, CER 0.0475, WER 0.3028
img_0024.png: 3.605s, CER 0.0421, WER 0.2691
img_0025.png: 3.845s, CER 0.0458, WER 0.2774
img_0026.png: 7.574s, CER 0.0521, WER 0.3080
img_0027.png: 4.973s, CER 0.0403, WER 0.2471
img_0028.png: 3.741s, CER 0.0488, WER 0.2897
img_0029.png: 3.747s, CER 0.0368, WER 0.2396
img_0030.png: 3.877s, CER 0.0427, WER 0.2613
img_0031.png: 10.167s, CER 0.0412, WER 0.2477
img_0032.png: 3.495s, CER 0.0498, WER 0.2925
img_0033.png: 3.466s, CER 0.0444, WER 0.2780
img_0034.png: 3.433s, CER 0.0450, WER 0.2830
img_0035.png: 3.342s, CER 0.0484, WER 0.3203
img_0036.png: 3.591s, CER 0.0479, WER 0.3165
img_0037.png: 3.455s, CER 0.0470, WER 0.2877
img_0038.png: 3.330s, CER 0.0502, WER 0.3020
img_0039.png: 10.710s, CER 0.0488, WER 0.3057
img_0060.png: 5.733s, CER 0.0431, WER 0.2688
img_0061.png: 3.876s, CER 0.0422, WER 0.2627
img_0062.png: 4.198s, CER 0.0427, WER 0.2690
img_0063.png: 3.775s, CER 0.0439, WER 0.2664
img_0064.png: 3.702s, CER 0.0518, WER 0.3273
img_0065.png: 3.673s, CER 0.0416, WER 0.2552
img_0066.png: 8.824s, CER 0.0424, WER 0.2668
img_0067.png: 3.863s, CER 0.0462, WER 0.2635
img_0068.png: 3.744s, CER 0.0477, WER 0.3028
img_0069.png: 3.856s, CER 0.0455, WER 0.2870
img_0070.png: 3.643s, CER 0.0419, WER 0.2676
img_0071.png: 10.241s, CER 0.0509, WER 0.3213
img_0072.png: 3.491s, CER 0.0475, WER 0.3034
img_0073.png: 3.405s, CER 0.0442, WER 0.2742
img_0074.png: 3.544s, CER 0.0464, WER 0.2723
img_0075.png: 3.339s, CER 0.0455, WER 0.2655
img_0076.png: 3.494s, CER 0.0489, WER 0.2965
img_0077.png: 3.325s, CER 0.0514, WER 0.3019
img_0078.png: 3.489s, CER 0.0460, WER 0.2814
img_0079.png: 10.833s, CER 0.0472, WER 0.2863
